"HOUSEHOLD DATA ANNUAL AVERAGES 39.  Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2016,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Pipelayers, plumbers, pipefitters, and steamfitters",475,927,464,925,11,Ð
Plasterers and stucco masons,25,Ð,25,Ð,0,Ð
Reinforcing iron and rebar workers,12,Ð,12,Ð,0,Ð
Roofers,161,623,158,624,3,Ð
Sheet metal workers,117,819,115,820,3,Ð
Structural iron and steel workers,61,976,60,983,1,Ð
Solar photovoltaic installers,10,Ð,10,Ð,0,Ð
"Helpers, construction trades",42,Ð,40,Ð,2,Ð
Construction and building inspectors,68,996,62,"1,040",6,Ð
Elevator installers and repairers,41,Ð,41,Ð,0,Ð
Fence erectors,30,Ð,29,Ð,0,Ð
Hazardous materials removal workers,28,Ð,24,Ð,4,Ð
Highway maintenance workers,85,745,83,723,2,Ð
Rail-track laying and maintenance equipment operators,8,Ð,8,Ð,0,Ð
Septic tank servicers and sewer pipe cleaners,9,Ð,9,Ð,0,Ð
Miscellaneous construction and related workers,17,Ð,17,Ð,0,Ð
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",29,Ð,29,Ð,0,Ð
"Earth drillers, except oil and gas",23,Ð,23,Ð,0,Ð
"Explosives workers, ordnance handling experts, and blasters",10,Ð,9,Ð,0,Ð
Mining machine operators,48,Ð,48,Ð,0,Ð
"Roof bolters, mining",3,Ð,3,Ð,0,Ð
"Roustabouts, oil and gas",4,Ð,4,Ð,0,Ð
Helpers--extraction workers,3,Ð,3,Ð,0,Ð
Other extraction workers,29,Ð,29,Ð,0,Ð
"Installation, maintenance, and repair occupations","4,201",861,"4,057",863,144,783
"First-line supervisors of mechanics, installers, and repairers",246,"1,020",221,"1,016",25,Ð
"Computer, automated teller, and office machine repairers",165,851,150,861,15,Ð
Radio and telecommunications equipment installers and repairers,132,950,110,975,22,Ð
Avionics technicians,8,Ð,8,Ð,0,Ð
"Electric motor, power tool, and related repairers",26,Ð,23,Ð,2,Ð
"Electrical and electronics installers and repairers, transportation equipment",3,Ð,3,Ð,0,Ð
"Electrical and electronics repairers, industrial and utility",15,Ð,14,Ð,1,Ð
"Electronic equipment installers and repairers, motor vehicles",8,Ð,8,Ð,0,Ð
Electronic home entertainment equipment installers and repairers,33,Ð,32,Ð,1,Ð
Security and fire alarm systems installers,69,927,68,909,1,Ð
Aircraft mechanics and service technicians,136,"1,047",134,"1,053",2,Ð
Automotive body and related repairers,117,761,112,770,5,Ð
Automotive glass installers and repairers,14,Ð,14,Ð,0,Ð
Automotive service technicians and mechanics,688,730,677,729,11,Ð
Bus and truck mechanics and diesel engine specialists,298,874,297,875,1,Ð
Heavy vehicle and mobile equipment service technicians and mechanics,198,964,198,964,0,Ð
Small engine mechanics,32,Ð,30,Ð,1,Ð
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",74,641,73,646,0,Ð
Control and valve installers and repairers,33,Ð,32,Ð,1,Ð
"Heating, air conditioning, and refrigeration mechanics and installers",361,864,357,868,4,Ð
Home appliance repairers,25,Ð,25,Ð,0,Ð
Industrial and refractory machinery mechanics,385,968,374,973,11,Ð
"Maintenance and repair workers, general",514,796,502,797,13,Ð
"Maintenance workers, machinery",20,Ð,19,Ð,1,Ð
Millwrights,35,Ð,35,Ð,0,Ð
